raw_name,taxon_name,level_1,indicator
Aruncus dioicus,aruncus_dioicus,Aruncus/Spiraea,FALSE
Asarum europaeum,asarum_europaeum,Asarum europaeum,FALSE
Asparagus,asparagus,Asparagus,FALSE
Asparagus acutifolius,asparagus_acutifolius,Asparagus acutifolius,FALSE
Asperula,asperula,Rubiaceae,FALSE
Asphodeline,asphodeline,Asphodeline,FALSE
Asphodelus,asphodelus,Asphodelus,FALSE
Asphodelus-type,asphodelus_type,Asphodelus/Asphodeline,FALSE
Asphodelus albus,asphodelus_albus,Asphodelus albus-type,FALSE
Asphodelus albus-type,asphodelus_albus_type,Asphodelus albus-type,FALSE
Asphodelus fistulosus,asphodelus_fistulosus,Asphodelus fistulosus-type,FALSE
Aster,aster,Aster-type,FALSE
Aster-type,aster_type,Aster-type,FALSE
Aster/Achillea,aster_achillea,Compositae subfam. Asteroideae,FALSE
Aster/Achillea-type,aster_achillea_type,Compositae subfam. Asteroideae,FALSE
Asteraceae,asteraceae,Asteraceae,FALSE
Asteraceae (undiff.),asteraceae_undiff,Asteraceae,FALSE
Asteroideae,asteroideae,Compositae subfam. Asteroideae,FALSE
Asteroideae pro parte,asteroideae_pro_parte,Compositae subfam. Asteroideae,FALSE
Asteroideae undiff.,asteroideae_undiff,Compositae subfam. Asteroideae,FALSE
Astragalus,astragalus,Astragalus-type,FALSE
Astragalus-type,astragalus_type,Astragalus-type,FALSE
Astragalus alpinus,astragalus_alpinus,Astragalus-type,FALSE
Astragalus alpinus-type,astragalus_alpinus_type,Astragalus-type,FALSE
Astragalus cf. A. alpinus,astragalus_cf_a_alpinus,Astragalus-type,FALSE
Astragalus cf. A. glycyphyllos,astragalus_cf_a_glycyphyllos,Astragalus-type,FALSE
Astragalus danicus,astragalus_danicus,Astragalus-type,FALSE
Astragalus frigidus,astragalus_frigidus,Astragalus-type,FALSE
Astragalus undiff.,astragalus_undiff,Astragalus-type,FALSE
Astragalus/Oxytropis-type,astragalus_oxytropis_type,Astragalus-type,FALSE
Astrantia,astrantia,Astrantia-type,FALSE
Astrantia-type,astrantia_type,Astrantia-type,FALSE
Astrantia major,astrantia_major,Astrantia major,FALSE
Astrantia major-type,astrantia_major_type,Astrantia-type,FALSE
Astrantia minor,astrantia_minor,Astrantia-type,FALSE
Athamanta cretensis,athamanta_cretensis,Athamanta cretensis,FALSE
